node_id,fragility_index,theta_deg,theta_fail,in_degree
0,4,0.332186814566789,0.5799632809900434,4
1,3,0.23166353192561573,0.5029449079004022,5
2,3,0.3575793759734148,0.8147697510008554,6
3,2,0.30921040871780925,0.7659403426368129,4
4,2,0.12825320436629487,0.782066151450534,4
5,4,0.3926867054910268,0.8122916124087871,3
6,4,0.32834191059710593,0.683566310215336,6
7,2,0.3358192915830862,0.7274964783811575,6
8,3,0.13843408980266378,0.555918799251063,5
9,1,0.23511578136867017,0.5458120294143893,2
10,2,0.2112394072697744,0.7673611847161887,5
11,2,0.37802949665458063,0.688438482457253,3
12,1,0.2931595360241994,0.7260944425924756,7
13,3,0.34682848398124905,0.8059995429664102,6
14,5,0.23302425964819937,0.7538873280002363,2
15,1,0.16817161653543308,0.7214317602631983,9
16,3,0.26637543610475045,0.7236828642981654,4
17,2,0.11914517683125261,0.6215800392250449,1
18,2,0.34828935159777463,0.5123271338271758,2
19,2,0.28949931973661946,0.6746869556929449,9
20,3,0.32742632202561217,0.5858338691278117,8
21,6,0.20635779043896052,0.6634114574898544,6
22,1,0.391209407318471,0.8413612293072665,2
23,2,0.36793633639665935,0.5935757943461363,6
24,5,0.3335150491221286,0.5233210966756264,4
25,1,0.1583916123555903,0.6125535568087986,6
26,3,0.2400163011181103,0.6174375031066734,6
27,1,0.11314112973616863,0.7647666058907581,6
28,1,0.14628684762026437,0.7228128609365113,4
29,4,0.3049146859727364,0.8135592836425654,5
30,2,0.3234286467723452,0.765725416130955,5
31,3,0.3902529197302631,0.6625547445760283,2
32,2,0.1977476074414456,0.825608153866414,4
33,4,0.21113791181046068,0.5667891679630815,3
34,1,0.24086674338274242,0.5090848292535441,4
35,2,0.1568414077252857,0.5360191443102567,3
36,1,0.1389764516006415,0.7889437402385802,5
37,1,0.24271147786778016,0.684750892100555,6
38,2,0.16807280471526526,0.5645087116134407,1
39,2,0.30094419840475317,0.7004179100413455,6
40,2,0.23114557566169924,0.5609248410852674,1
41,1,0.3498034588173513,0.7785281500310944,7
42,1,0.3100795306006748,0.6784625102296122,6
43,3,0.19370999241461234,0.652408490438593,5
44,2,0.3496779404185604,0.6206048356591506,3
45,6,0.34142930724904064,0.7521130372475554,6
46,1,0.21624351370905237,0.6447250442213561,6
47,2,0.18649843117907325,0.5350599677264404,5
48,2,0.30474865119249267,0.5472023608482062,6
49,4,0.14192574508279296,0.8847590658198059,2
