perturbation,seed_node,cascade_size_fraction,time_to_stability,n_trials,std_cascade_size
-0.2,15,0.02,0.0,1,0.0
-0.2,19,0.04,1.0,1,0.0
-0.2,20,0.06,1.0,1,0.0
-0.2,12,0.02,0.0,1,0.0
-0.2,41,0.02,0.0,1,0.0
-0.2,45,0.12,1.0,1,0.0
-0.2,37,0.02,0.0,1,0.0
-0.2,46,0.02,0.0,1,0.0
-0.2,42,0.02,0.0,1,0.0
-0.2,7,0.04,1.0,1,0.0
-0.2,25,0.02,0.0,1,0.0
-0.2,26,0.06,1.0,1,0.0
-0.2,21,0.12,1.0,1,0.0
-0.2,23,0.04,1.0,1,0.0
-0.2,39,0.04,1.0,1,0.0
-0.1,15,0.02,0.0,1,0.0
-0.1,19,0.04,1.0,1,0.0
-0.1,20,0.06,1.0,1,0.0
-0.1,12,0.02,0.0,1,0.0
-0.1,41,0.02,0.0,1,0.0
-0.1,45,0.12,1.0,1,0.0
-0.1,37,0.02,0.0,1,0.0
-0.1,46,0.02,0.0,1,0.0
-0.1,42,0.02,0.0,1,0.0
-0.1,7,0.04,1.0,1,0.0
-0.1,25,0.02,0.0,1,0.0
-0.1,26,0.06,1.0,1,0.0
-0.1,21,0.12,1.0,1,0.0
-0.1,23,0.04,1.0,1,0.0
-0.1,39,0.04,1.0,1,0.0
0.0,15,0.02,0.0,1,0.0
0.0,19,0.04,1.0,1,0.0
0.0,20,0.06,1.0,1,0.0
0.0,12,0.02,0.0,1,0.0
0.0,41,0.02,0.0,1,0.0
0.0,45,0.12,1.0,1,0.0
0.0,37,0.02,0.0,1,0.0
0.0,46,0.02,0.0,1,0.0
0.0,42,0.02,0.0,1,0.0
0.0,7,0.04,1.0,1,0.0
0.0,25,0.02,0.0,1,0.0
0.0,26,0.06,1.0,1,0.0
0.0,21,0.12,1.0,1,0.0
0.0,23,0.04,1.0,1,0.0
0.0,39,0.04,1.0,1,0.0
0.1,15,0.02,0.0,1,0.0
0.1,19,0.04,1.0,1,0.0
0.1,20,0.06,1.0,1,0.0
0.1,12,0.02,0.0,1,0.0
0.1,41,0.02,0.0,1,0.0
0.1,45,0.12,1.0,1,0.0
0.1,37,0.02,0.0,1,0.0
0.1,46,0.02,0.0,1,0.0
0.1,42,0.02,0.0,1,0.0
0.1,7,0.04,1.0,1,0.0
0.1,25,0.02,0.0,1,0.0
0.1,26,0.06,1.0,1,0.0
0.1,21,0.12,1.0,1,0.0
0.1,23,0.04,1.0,1,0.0
0.1,39,0.04,1.0,1,0.0
0.2,15,0.02,0.0,1,0.0
0.2,19,0.04,1.0,1,0.0
0.2,20,0.06,1.0,1,0.0
0.2,12,0.02,0.0,1,0.0
0.2,41,0.02,0.0,1,0.0
0.2,45,0.12,1.0,1,0.0
0.2,37,0.02,0.0,1,0.0
0.2,46,0.02,0.0,1,0.0
0.2,42,0.02,0.0,1,0.0
0.2,7,0.04,1.0,1,0.0
0.2,25,0.02,0.0,1,0.0
0.2,26,0.06,1.0,1,0.0
0.2,21,0.12,1.0,1,0.0
0.2,23,0.04,1.0,1,0.0
0.2,39,0.04,1.0,1,0.0
