node_id,trial,cascade_size_frac,time_to_stability
0,0,0.02,1
0,1,0.02,1
0,2,0.02,1
0,3,0.02,1
0,4,0.02,1
0,5,0.02,1
0,6,0.05,2
0,7,0.02,1
0,8,0.03,3
0,9,0.02,1
0,10,0.06,3
0,11,0.02,1
0,12,0.02,1
0,13,0.04,3
0,14,0.02,1
0,15,0.02,1
0,16,0.02,1
0,17,0.02,1
0,18,0.02,1
0,19,0.04,2
0,20,0.02,1
0,21,0.02,1
0,22,0.02,1
0,23,0.05,3
0,24,0.03,2
0,25,0.02,1
0,26,0.02,1
0,27,0.02,1
0,28,0.02,1
0,29,0.02,1
0,30,0.05,2
0,31,0.04,3
0,32,0.02,1
0,33,0.02,1
0,34,0.02,1
0,35,0.04,3
0,36,0.03,1
0,37,0.02,1
0,38,0.02,1
0,39,0.02,1
0,40,0.02,1
0,41,0.02,1
0,42,0.02,1
0,43,0.08,4
0,44,0.02,1
0,45,0.03,1
0,46,0.02,1
0,47,0.02,1
0,48,0.02,1
0,49,0.04,2
1,0,0.02,1
1,1,0.02,1
1,2,0.02,1
1,3,0.02,1
1,4,0.02,1
1,5,0.02,1
1,6,0.04,3
1,7,0.07,4
1,8,0.06,3
1,9,0.15,6
1,10,0.02,1
1,11,0.02,1
1,12,0.04,3
1,13,0.04,2
1,14,0.02,1
1,15,0.03,1
1,16,0.06,2
1,17,0.02,1
1,18,0.16,9
1,19,0.4,13
1,20,0.02,1
1,21,0.02,1
1,22,0.02,1
1,23,0.02,1
1,24,0.02,1
1,25,0.02,1
1,26,0.05,3
1,27,0.02,1
1,28,0.02,1
1,29,0.02,1
1,30,0.03,1
1,31,0.02,1
1,32,0.02,1
1,33,0.03,2
1,34,0.02,1
1,35,0.05,2
1,36,0.04,3
1,37,0.02,1
1,38,0.02,1
1,39,0.02,1
1,40,0.02,1
1,41,0.03,2
1,42,0.02,1
1,43,0.02,1
1,44,0.06,3
1,45,0.06,2
1,46,0.1,7
1,47,0.02,1
1,48,0.02,1
1,49,0.02,1
2,0,0.01,0
2,1,0.01,0
2,2,0.01,0
2,3,0.01,0
2,4,0.01,0
2,5,0.01,0
2,6,0.02,1
2,7,0.01,0
2,8,0.01,0
2,9,0.03,2
2,10,0.01,0
2,11,0.01,0
2,12,0.01,0
2,13,0.01,0
2,14,0.01,0
2,15,0.01,0
2,16,0.02,1
2,17,0.01,0
2,18,0.01,0
2,19,0.02,1
2,20,0.05,4
2,21,0.01,0
2,22,0.01,0
2,23,0.02,1
2,24,0.01,0
2,25,0.01,0
2,26,0.01,0
2,27,0.01,0
2,28,0.01,0
2,29,0.01,0
2,30,0.01,0
2,31,0.01,0
2,32,0.05,3
2,33,0.01,0
2,34,0.01,0
2,35,0.02,1
2,36,0.01,0
2,37,0.01,0
2,38,0.01,0
2,39,0.1,5
2,40,0.1,4
2,41,0.02,1
2,42,0.03,2
2,43,0.01,0
2,44,0.01,0
2,45,0.01,0
2,46,0.03,2
2,47,0.01,0
2,48,0.01,0
2,49,0.01,0
3,0,0.02,1
3,1,0.02,1
3,2,0.02,1
3,3,0.02,1
3,4,0.02,1
3,5,0.02,1
3,6,0.02,1
3,7,0.04,3
3,8,0.09,4
3,9,0.04,2
3,10,0.22,14
3,11,0.03,1
3,12,0.07,2
3,13,0.02,1
3,14,0.02,1
3,15,0.02,1
3,16,0.02,1
3,17,0.1,7
3,18,0.02,1
3,19,0.13,7
3,20,0.02,1
3,21,0.02,1
3,22,0.05,2
3,23,0.12,6
3,24,0.02,1
3,25,0.06,2
3,26,0.02,1
3,27,0.02,1
3,28,0.02,1
3,29,0.12,4
3,30,0.08,4
3,31,0.03,1
3,32,0.08,3
3,33,0.04,2
3,34,0.03,1
3,35,0.02,1
3,36,0.02,1
3,37,0.03,1
3,38,0.02,1
3,39,0.04,3
3,40,0.05,3
3,41,0.05,4
3,42,0.03,2
3,43,0.03,1
3,44,0.02,1
3,45,0.02,1
3,46,0.07,4
3,47,0.05,2
3,48,0.02,1
3,49,0.02,1
4,0,0.02,1
4,1,0.02,1
4,2,0.02,1
4,3,0.02,1
4,4,0.02,1
4,5,0.03,2
4,6,0.02,1
4,7,0.02,1
4,8,0.02,1
4,9,0.02,1
4,10,0.04,3
4,11,0.02,1
4,12,0.02,1
4,13,0.12,6
4,14,0.02,1
4,15,0.02,1
4,16,0.02,1
4,17,0.02,1
4,18,0.02,1
4,19,0.02,1
4,20,0.02,1
4,21,0.02,1
4,22,0.05,3
4,23,0.02,1
4,24,0.07,2
4,25,0.02,1
4,26,0.03,3
4,27,0.03,2
4,28,0.02,1
4,29,0.02,1
4,30,0.02,1
4,31,0.02,1
4,32,0.07,5
4,33,0.02,1
4,34,0.02,1
4,35,0.03,2
4,36,0.08,4
4,37,0.02,1
4,38,0.02,1
4,39,0.02,1
4,40,0.06,3
4,41,0.02,1
4,42,0.02,1
4,43,0.02,1
4,44,0.07,3
4,45,0.02,1
4,46,0.02,1
4,47,0.09,4
4,48,0.02,1
4,49,0.02,1
5,0,0.03,1
5,1,0.03,1
5,2,0.1,5
5,3,0.12,8
5,4,0.08,4
5,5,0.03,1
5,6,0.14,6
5,7,0.03,1
5,8,0.03,1
5,9,0.05,3
5,10,0.03,1
5,11,0.03,1
5,12,0.03,1
5,13,0.03,1
5,14,0.03,1
5,15,0.03,1
5,16,0.03,1
5,17,0.03,1
5,18,0.04,1
5,19,0.09,5
5,20,0.03,1
5,21,0.03,1
5,22,0.04,1
5,23,0.06,2
5,24,0.03,1
5,25,0.04,1
5,26,0.03,1
5,27,0.03,1
5,28,0.03,1
5,29,0.03,1
5,30,0.03,1
5,31,0.03,1
5,32,0.04,1
5,33,0.03,1
5,34,0.03,1
5,35,0.03,1
5,36,0.03,1
5,37,0.03,1
5,38,0.05,3
5,39,0.04,1
5,40,0.03,1
5,41,0.03,1
5,42,0.03,1
5,43,0.03,1
5,44,0.03,1
5,45,0.03,1
5,46,0.03,1
5,47,0.04,1
5,48,0.06,2
5,49,0.05,2
6,0,0.04,3
6,1,0.02,1
6,2,0.03,1
6,3,0.02,1
6,4,0.02,1
6,5,0.02,1
6,6,0.13,4
6,7,0.02,1
6,8,0.02,1
6,9,0.02,1
6,10,0.02,1
6,11,0.02,1
6,12,0.17,8
6,13,0.03,2
6,14,0.02,1
6,15,0.02,1
6,16,0.05,2
6,17,0.02,1
